Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""SGK1""","""SGK""","""SGK""","""SGK""","""serum/glucocorticoid regulated kinase""","""SGK""",,,,,"""Serine/threonine-protein kinase Sgk1""","""Serum/glucocorticoid-regulated kinase 1""","""SGK1""","""SGK""",,
"""SGK2""","""SGK2""","""SGK2""","""SGK2""","""serum/glucocorticoid regulated kinase 2""","""SGK2""","""serum/glucocorticoid regulated kinase 2""","""serum/glucocorticoid regulated kinase 2"", ""SGK2, serine/threonine kinase 2""",,,"""Serine/threonine-protein kinase Sgk2""","""Serum/glucocorticoid-regulated kinase 2""","""SGK2""",,"""serum/glucocorticoid regulated kinase 2""","""H-SGK2"", ""dJ138B7.2"""
"""SGK3""","""SGK3""","""SGK3""","""SGK3""","""serum/glucocorticoid regulated kinase family, member 3""","""SGK3""","""serum/glucocorticoid regulated kinase family member 3""","""serum/glucocorticoid regulated kinase-like"", ""serum/glucocorticoid regulated kinase family, member 3""",,,"""Serine/threonine-protein kinase Sgk3""","""Cytokine-independent survival kinase"", ""Serum/glucocorticoid-regulated kinase 3"", ""Serum/glucocorticoid-regulated kinase-like""","""SGK3""","""CISK"", ""SGKL""","""serum/glucocorticoid regulated kinase family member 3""","""CISK"", ""SGK2"", ""SGKL"""
"""YANK2""","""YANK2""","""STK32B""","""STK32B""","""serine/threonine kinase 32B""","""STK32B""","""serine/threonine kinase 32B""",,,"""STKG6"", ""YANK2"", ""STK32"", ""HSA250839""","""Serine/threonine-protein kinase 32B""","""Yet another novel kinase 2""","""STK32B""","""YANK2""","""serine/threonine kinase 32B""","""HSA250839"", ""STK32"", ""STKG6"", ""YANK2"""
"""YANK1""","""YANK1""","""STK32A""","""STK32A""","""serine/threonine kinase 32A""","""STK32A""","""serine/threonine kinase 32A""",,,"""MGC22688"", ""YANK1""","""Serine/threonine-protein kinase 32A""","""Yet another novel kinase 1""","""STK32A""","""YANK1""","""serine/threonine kinase 32A""","""YANK1"""
"""YANK3""","""YANK3""","""STK32C""","""STK32C""","""serine/threonine kinase 32C""","""STK32C""","""serine/threonine kinase 32C""",,,"""PKE"", ""MGC23665"", ""YANK3""","""Serine/threonine-protein kinase 32C""","""PKE"", ""Yet another novel kinase 3""","""STK32C""","""YANK3""","""serine/threonine kinase 32C""","""PKE"", ""YANK3"""
"""ADCK3""","""ADCK3""","""CABC1""","""CABC1""","""chaperone, ABC1 activity of bc1 complex homolog (S. pombe)""","""CABC1""",,,,,"""Atypical kinase COQ8A, mitochondrial""","""Chaperone activity of bc1 complex-like"", ""Coenzyme Q protein 8A"", ""aarF domain-containing protein kinase 3""","""COQ8A""","""ADCK3"", ""CABC1""","""chaperone, ABC1 activity of bc1 complex like (S. pombe)""",
"""ADCK4""","""ADCK4""","""ADCK4""","""ADCK4""","""aarF domain containing kinase 4""","""ADCK4""",,,,,"""Atypical kinase COQ8B, mitochondrial""","""AarF domain-containing protein kinase 4"", ""Coenzyme Q protein 8B""","""COQ8B""","""ADCK4""",,
"""ADCK1""","""ADCK1""","""ADCK1""","""ADCK1""","""aarF domain containing kinase 1""","""ADCK1""","""aarF domain containing kinase 1""",,,"""FLJ39600""","""AarF domain-containing protein kinase 1""",,"""ADCK1""",,"""aarF domain containing kinase 1""","""MCP2"""
"""ADCK5""","""ADCK5""","""ADCK5""","""ADCK5""","""aarF domain containing kinase 5""","""ADCK5""","""aarF domain containing kinase 5""",,,"""FLJ35454""","""Uncharacterized aarF domain-containing protein kinase 5""",,"""ADCK5""",,"""aarF domain containing kinase 5""",
"""ADCK2""","""ADCK2""","""ADCK2""","""ADCK2""","""aarF domain containing kinase 2""","""ADCK2""","""aarF domain containing kinase 2""",,,"""MGC20727""","""Uncharacterized aarF domain-containing protein kinase 2""",,"""ADCK2""","""AARF""","""aarF domain containing kinase 2""","""AARF"""
"""AlphaK1""","""AlphaK1""","""ALPK3""","""ALPK3""","""alpha-kinase 3""","""ALPK3""","""alpha kinase 3""",,"""myocyte induction differentiation originator"", ""muscle alpha-kinase""","""MAK"", ""KIAA1330"", ""Midori""","""Alpha-protein kinase 3""","""Muscle alpha-protein kinase""","""ALPK3""","""KIAA1330"", ""MAK""","""alpha kinase 3""","""CMH27"", ""MAK"", ""MIDORI"""
"""AlphaK3""","""AlphaK3""","""ALPK1""","""ALPK1""","""alpha-kinase 1""","""ALPK1""","""alpha kinase 1""",,"""lymphocyte alpha-kinase""","""Lak"", ""FLJ22670"", ""KIAA1527""","""Alpha-protein kinase 1""","""Chromosome 4 kinase"", ""Lymphocyte alpha-protein kinase""","""ALPK1""","""KIAA1527"", ""LAK""","""alpha kinase 1""","""8430410J10Rik"", ""LAK"", ""ROSAH"""
"""AlphaK2""","""AlphaK2""","""ALPK2""","""ALPK2""","""alpha-kinase 2""","""ALPK2""","""alpha kinase 2""",,"""heart alpha-kinase""","""HAK""","""Alpha-protein kinase 2""","""Heart alpha-protein kinase""","""ALPK2""","""HAK""","""alpha kinase 2""","""HAK"""
"""ChaK1""","""ChaK1""","""TRPM7""","""TRPM7""","""transient receptor potential cation channel, subfamily M, member 7""","""TRPM7""","""transient receptor potential cation channel subfamily M member 7""","""transient receptor potential cation channel, subfamily M, member 7""",,"""CHAK1"", ""LTRPC7"", ""TRP-PLIK""","""Transient receptor potential cation channel subfamily M member 7""","""Channel-kinase 1"", ""Long transient receptor potential channel 7""","""TRPM7""","""CHAK1"", ""LTRPC7""","""transient receptor potential cation channel subfamily M member 7""","""ALSPDC"", ""CHAK"", ""CHAK1"", ""LTRPC7"", ""LTrpC-7"", ""TRP-PLIK"""
"""ChaK2""","""ChaK2""","""TRPM6""","""TRPM6""","""transient receptor potential cation channel, subfamily M, member 6""","""TRPM6""","""transient receptor potential cation channel subfamily M member 6""","""hypomagnesemia, secondary hypocalcemia"", ""transient receptor potential cation channel, subfamily M, member 6""",,"""CHAK2"", ""FLJ22628""","""Transient receptor potential cation channel subfamily M member 6""","""Channel kinase 2"", ""Melastatin-related TRP cation channel 6""","""TRPM6""","""CHAK2""","""transient receptor potential cation channel subfamily M member 6""","""CHAK2"", ""HMGX"", ""HOMG"", ""HOMG1"", ""HSH"""
"""eEF2K""","""eEF2K""","""EEF2K""","""EEF2K""","""eukaryotic elongation factor-2 kinase""","""EEF2K""","""eukaryotic elongation factor 2 kinase""",,,"""eEF-2K"", ""CaMKIII""","""Eukaryotic elongation factor 2 kinase""","""Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase""","""EEF2K""",,"""eukaryotic elongation factor 2 kinase""","""CaMKIII"", ""HSU93850"", ""eEF-2K"""
"""BCR""","""BCR""","""BCR""","""BCR""","""breakpoint cluster region""","""BCR""","""BCR activator of RhoGEF and GTPase""","""breakpoint cluster region"", ""BCR, RhoGEF and GTPase activating protein""",,"""D22S662"", ""CML"", ""PHL"", ""ALL""","""Breakpoint cluster region protein""","""Renal carcinoma antigen NY-REN-26""","""BCR""","""BCR1"", ""D22S11""","""BCR activator of RhoGEF and GTPase""","""ALL"", ""BCR1"", ""CML"", ""D22S11"", ""D22S662"", ""PHL"""
"""BRDT""","""BRDT""","""BRDT""","""BRDT""","""bromodomain, testis-specific""","""BRDT""","""bromodomain testis associated""","""bromodomain, testis-specific""","""cancer/testis antigen 9""","""BRD6"", ""CT9"", ""BRDt""","""Bromodomain testis-specific protein""","""Cancer/testis antigen 9"", ""RING3-like protein""","""BRDT""",,"""bromodomain testis associated""","""BRD6"", ""CT9"", ""SPGF21"""
"""BRD2""","""BRD2""","""BRD2""","""BRD2""","""bromodomain containing 2""","""BRD2""","""bromodomain containing 2""","""bromodomain-containing 2"", ""BRD2 intronic transcript 1""","""really interesting new gene 3"", ""female sterile homeotic related gene 1""","""KIAA9001"", ""RING3"", ""D6S113E"", ""NAT"", ""FSHRG1""","""Bromodomain-containing protein 2""","""O27.1.1""","""BRD2""","""KIAA9001"", ""RING3""","""bromodomain containing 2""","""BRD2-IT1"", ""D6S113E"", ""FSH"", ""FSHRG1"", ""FSRG1"", ""NAT"", ""O27.1.1"", ""RING3"", ""RNF3"""
"""BRD3""","""BRD3""","""BRD3""","""BRD3""","""bromodomain containing 3""","""BRD3""","""bromodomain containing 3""","""bromodomain-containing 3""","""RING3-like"", ""female sterile homeotic related gene 2""","""RING3L"", ""ORFX"", ""KIAA0043"", ""FSHRG2""","""Bromodomain-containing protein 3""","""RING3-like protein""","""BRD3""","""KIAA0043"", ""RING3L""","""bromodomain containing 3""","""FSHRG2"", ""ORFX"", ""RING3L"""
"""BRD4""","""BRD4""","""BRD4""","""BRD4""","""bromodomain containing 4""","""BRD4""","""bromodomain containing 4""","""bromodomain-containing 4""","""mitotic chromosome-associated protein"", ""chromosome-associated protein"", ""female sterile homeotic related gene 4""","""HUNKI"", ""MCAP"", ""CAP"", ""HUNK1"", ""FSHRG4""","""Bromodomain-containing protein 4""","""Protein HUNK1""","""BRD4""","""HUNK1""","""bromodomain containing 4""","""CAP"", ""CDLS6"", ""FSHRG4"", ""HUNK1"", ""HUNKI"", ""MCAP"""
"""FASTK""","""FASTK""","""FASTK""","""FASTK""","""Fas-activated serine/threonine kinase""","""FASTK""","""Fas activated serine/threonine kinase""","""Fas-activated serine/threonine kinase""",,"""FAST""","""Fas-activated serine/threonine kinase""",,"""FASTK""",,"""Fas activated serine/threonine kinase""","""FAST"""
"""G11""","""G11""","""STK19""","""STK19""","""serine/threonine kinase 19""","""STK19""",,,,,"""Inactive serine/threonine-protein kinase 19""","""Protein G11"", ""Protein RP1""","""STK19""","""G11"", ""RP1""",,
"""H11""","""H11""","""HSPB8""","""HSPB8""","""heat shock 22kDa protein 8""","""HSPB8""","""heat shock protein family B (small) member 8""","""heat shock 27kDa protein 8"", ""heat shock 22kDa protein 8""",,"""H11"", ""E2IG1"", ""HSP22"", ""CMT2L""","""Heat shock protein beta-8""","""Alpha-crystallin C chain"", ""E2-induced gene 1 protein"", ""Heat shock protein family B member 8"", ""Protein kinase H11"", ""Small stress protein-like protein HSP22""","""HSPB8""","""CRYAC"", ""E2IG1"", ""HSP22""","""heat shock protein family B (small) member 8""","""CMT2L"", ""DHMN2"", ""E2IG1"", ""H11"", ""HMN2"", ""HMN2A"", ""HMND2"", ""HSP22"", ""HSPB8-N1"", ""HSPB8-N2"", ""MFM13"""
"""BCKDK""","""BCKDK""","""BCKDK""","""BCKDK""","""branched chain ketoacid dehydrogenase kinase""","""BCKDK""","""branched chain keto acid dehydrogenase kinase""",,,,"""Branched-chain alpha-ketoacid dehydrogenase kinase""","""[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial""","""BCKDK""",,"""branched chain keto acid dehydrogenase kinase""","""BCKDKD"", ""BDK"""
"""PDHK1""","""PDHK1""","""PDK1""","""PDK1""","""pyruvate dehydrogenase kinase, isozyme 1""","""PDK1""","""pyruvate dehydrogenase kinase 1""","""pyruvate dehydrogenase kinase, isoenzyme 1"", ""pyruvate dehydrogenase kinase, isozyme 1""",,,"""[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial""","""Pyruvate dehydrogenase kinase isoform 1""","""PDK1""","""PDHK1""","""pyruvate dehydrogenase kinase 1""",
"""PDHK2""","""PDHK2""","""PDK2""","""PDK2""","""pyruvate dehydrogenase kinase, isozyme 2""","""PDK2""","""pyruvate dehydrogenase kinase 2""","""pyruvate dehydrogenase kinase, isoenzyme 2"", ""pyruvate dehydrogenase kinase, isozyme 2""",,"""PDHK2""","""[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial""","""Pyruvate dehydrogenase kinase isoform 2""","""PDK2""","""PDHK2""","""pyruvate dehydrogenase kinase 2""","""PDHK2"", ""PDKII"""
"""PDHK3""","""PDHK3""","""PDK3""","""PDK3""","""pyruvate dehydrogenase kinase, isozyme 3""","""PDK3""","""pyruvate dehydrogenase kinase 3""","""pyruvate dehydrogenase kinase, isoenzyme 3"", ""pyruvate dehydrogenase kinase, isozyme 3""",,,"""[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial""","""Pyruvate dehydrogenase kinase isoform 3""","""PDK3""","""PDHK3""","""pyruvate dehydrogenase kinase 3""","""CMTX6"", ""GS1-358P8.4"""
"""PDHK4""","""PDHK4""","""PDK4""","""PDK4""","""pyruvate dehydrogenase kinase, isozyme 4""","""PDK4""","""pyruvate dehydrogenase kinase 4""","""pyruvate dehydrogenase kinase, isoenzyme 4"", ""pyruvate dehydrogenase kinase, isozyme 4""",,,"""[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial""","""Pyruvate dehydrogenase kinase isoform 4""","""PDK4""","""PDHK4""","""pyruvate dehydrogenase kinase 4""",
"""ATM""","""ATM""","""ATM""","""ATM""","""ataxia telangiectasia mutated (includes complementation groups A, C and D)""","""ATM""","""ATM serine/threonine kinase""","""ataxia telangiectasia mutated (includes complementation groups A, C and D)"", ""ataxia telangiectasia mutated""","""TEL1, telomere maintenance 1, homolog (S. cerevisiae)""","""TEL1"", ""TELO1""","""Serine-protein kinase ATM""","""Ataxia telangiectasia mutated""","""ATM""",,"""ATM serine/threonine kinase""","""AT1"", ""ATA"", ""ATC"", ""ATD"", ""ATDC"", ""ATE"", ""TEL1"", ""TELO1"""
"""ATR""","""ATR""","""ATR""","""ATR""","""ataxia telangiectasia and Rad3 related""","""ATR""","""ATR serine/threonine kinase""","""ataxia telangiectasia and Rad3 related""","""MEC1, mitosis entry checkpoint 1, homolog (S. cerevisiae)""","""FRP1"", ""SCKL"", ""SCKL1"", ""MEC1""","""Serine/threonine-protein kinase ATR""","""Ataxia telangiectasia and Rad3-related protein"", ""FRAP-related protein 1""","""ATR""","""FRP1""","""ATR serine/threonine kinase""","""FCTCS"", ""FRP1"", ""MEC1"", ""SCKL"", ""SCKL1"""
"""DNAPK""","""DNAPK""","""PRKDC""","""PRKDC""","""protein kinase, DNA-activated, catalytic polypeptide""","""PRKDC""","""protein kinase, DNA-activated, catalytic subunit""","""protein kinase, DNA-activated, catalytic polypeptide""","""DNA-dependent protein kinase catalytic subunit""","""DNPK1"", ""p350"", ""DNAPK"", ""XRCC7"", ""DNA-PKcs"", ""DNAPKc"", ""DNA-PKC"", ""p460""","""DNA-dependent protein kinase catalytic subunit""","""DNPK1"", ""Ser-473 kinase"", ""p460""","""PRKDC""","""HYRC"", ""HYRC1""","""protein kinase, DNA-activated, catalytic subunit""","""DNA-PKC"", ""DNA-PKcs"", ""DNAPK"", ""DNAPKc"", ""DNPK1"", ""HYRC"", ""HYRC1"", ""IMD26"", ""S473K"", ""XRCC7"", ""p350"""
"""FRAP""","""FRAP""","""FRAP1""","""FRAP1""","""FK506 binding protein 12-rapamycin associated protein 1""","""FRAP1""",,,,,"""Serine/threonine-protein kinase mTOR""","""FK506-binding protein 12-rapamycin complex-associated protein 1"", ""FKBP12-rapamycin complex-associated protein"", ""Mammalian target of rapamycin"", ""Mechanistic target of rapamycin"", ""Rapamycin and FKBP12 target 1"", ""Rapamycin target protein 1"", ""Tyrosine-protein kinase mTOR""","""MTOR""","""FRAP"", ""FRAP1"", ""FRAP2"", ""RAFT1"", ""RAPT1""",,
"""SMG1""","""SMG1""","""SMG1""","""-""","""-""","""SMG1""","""SMG1 nonsense mediated mRNA decay associated PI3K related kinase""","""smg-1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)"", ""SMG1 phosphatidylinositol 3-kinase-related kinase"", ""SMG1, nonsense mediated mRNA decay associated PI3K related kinase""","""phosphatidylinositol 3-kinase-related kinase""","""LIP"", ""KIAA0421"", ""ATX""","""Serine/threonine-protein kinase SMG1""","""Lambda/iota protein kinase C-interacting protein"", ""Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1""","""SMG1""","""ATX"", ""KIAA0421"", ""LIP""","""SMG1 nonsense mediated mRNA decay associated PI3K related kinase""","""61E3.4"", ""ATX"", ""LIP"""
"""TRRAP""","""TRRAP""","""TRRAP""","""TRRAP""","""transformation/transcription domain-associated protein""","""TRRAP""","""transformation/transcription domain associated protein""","""transformation/transcription domain-associated protein""",,"""TR-AP"", ""PAF400"", ""Tra1""","""Transformation/transcription domain-associated protein""","""350/400 kDa PCAF-associated factor"", ""STAF40"", ""Tra1 homolog""","""TRRAP""","""PAF400""","""transformation/transcription domain associated protein""","""DEDDFA"", ""DFNA75"", ""PAF350/400"", ""PAF400"", ""STAF40"", ""TR-AP"", ""Tra1"""
"""RIOK1""","""RIOK1""","""RIOK1""","""RIOK1""","""RIO kinase 1 (yeast)""","""RIOK1""","""RIO kinase 1""","""RIO kinase 1 (yeast)""",,"""AD034"", ""FLJ30006"", ""bA288G3.1"", ""RRP10""","""Serine/threonine-protein kinase RIO1""","""RIO kinase 1""","""RIOK1""","""RIO1""","""RIO kinase 1""","""AD034"", ""RIO1"", ""RRP10"", ""bA288G3.1"""
"""RIOK2""","""RIOK2""","""RIOK2""","""RIOK2""","""RIO kinase 2 (yeast)""","""RIOK2""","""RIO kinase 2""","""RIO kinase 2 (yeast)""",,"""FLJ11159""","""Serine/threonine-protein kinase RIO2""","""RIO kinase 2""","""RIOK2""","""RIO2""","""RIO kinase 2""","""RIO2"""
"""RIOK3""","""RIOK3""","""RIOK3""","""RIOK3""","""RIO kinase 3 (yeast)""","""RIOK3""","""RIO kinase 3""","""sudD (suppressor of bimD6, Aspergillus nidulans) homolog"", ""RIO kinase 3 (yeast)""",,,"""Serine/threonine-protein kinase RIO3""","""RIO kinase 3"", ""sudD homolog""","""RIOK3""","""SUDD""","""RIO kinase 3""","""SUDD"""
"""TAF1""","""TAF1""","""TAF1""","""TAF1""","""TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa""","""TAF1""","""TATA-box binding protein associated factor 1""","""TATA box binding protein (TBP)-associated factor, RNA polymerase II, A, 250kD"", ""dystonia 3 (with Parkinsonism)"", ""TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa""",,"""NSCL2"", ""TAFII250"", ""KAT4"", ""DYT3/TAF1""","""Transcription initiation factor TFIID subunit 1""","""Cell cycle gene 1 protein"", ""TBP-associated factor 250 kDa"", ""Transcription initiation factor TFIID 250 kDa subunit""","""TAF1""","""BA2R"", ""CCG1"", ""CCGS"", ""TAF2A""","""TATA-box binding protein associated factor 1""","""BA2R"", ""CCG1"", ""CCGS"", ""DYT3"", ""DYT3/TAF1"", ""KAT4"", ""MRXS33"", ""N-TAF1"", ""NSCL2"", ""OF"", ""P250"", ""TAF(II)250"", ""TAF2A"", ""TAFII-250"", ""TAFII250"", ""XDP"""
"""TAF1L""","""TAF1L""","""TAF1L""","""TAF1L""","""TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa""","""TAF1L""","""TATA-box binding protein associated factor 1 like""","""TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa"", ""TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like""",,,"""Transcription initiation factor TFIID subunit 1-like""","""TAF(II)210"", ""TBP-associated factor 1-like"", ""TBP-associated factor 210 kDa"", ""Transcription initiation factor TFIID 210 kDa subunit""","""TAF1L""",,"""TATA-box binding protein associated factor 1 like""","""TAF(II)210"", ""TAF2A2"""
"""TIF1a""","""TIF1a""","""TRIM24""","""TRIM24""","""tripartite motif-containing 24""","""TRIM24""","""tripartite motif containing 24""","""transcriptional intermediary factor 1"", ""tripartite motif-containing 24""",,"""hTIF1"", ""Tif1a"", ""RNF82"", ""TIF1A""","""Transcription intermediary factor 1-alpha""","""E3 ubiquitin-protein ligase TRIM24"", ""RING finger protein 82"", ""RING-type E3 ubiquitin transferase TIF1-alpha"", ""Tripartite motif-containing protein 24""","""TRIM24""","""RNF82"", ""TIF1"", ""TIF1A""","""tripartite motif containing 24""","""PTC6"", ""RNF82"", ""TF1A"", ""TIF1"", ""TIF1A"", ""TIF1ALPHA"", ""hTIF1"""
"""TIF1b""","""TIF1b""","""TRIM28""","""TRIM28""","""tripartite motif-containing 28""","""TRIM28""","""tripartite motif containing 28""","""tripartite motif-containing 28""","""protein phosphatase 1, regulatory subunit 157"", ""Transcription intermediary factor 1-beta"", ""RING finger protein 96"", ""KRAB-associated protein 1""","""TIF1B"", ""KAP1"", ""TF1B"", ""RNF96"", ""PPP1R157"", ""KAP-1"", ""TIF1-beta"", ""TIF1beta""","""Transcription intermediary factor 1-beta""","""E3 SUMO-protein ligase TRIM28"", ""KRAB-associated protein 1"", ""KRAB-interacting protein 1"", ""Nuclear corepressor KAP-1"", ""RING finger protein 96"", ""RING-type E3 ubiquitin transferase TIF1-beta"", ""Tripartite motif-containing protein 28""","""TRIM28""","""KAP1"", ""RNF96"", ""TIF1B""","""tripartite motif containing 28""","""KAP1"", ""PPP1R157"", ""RNF96"", ""TF1B"", ""TIF1B"", ""TIF1beta"""
"""TIF1g""","""TIF1g""","""TRIM33""","""TRIM33""","""tripartite motif-containing 33""","""TRIM33""","""tripartite motif containing 33""","""tripartite motif-containing 33""","""transcriptional intermediary factor 1 gamma"", ""ret-fused gene 7""","""TIF1GAMMA"", ""FLJ11429"", ""KIAA1113"", ""TIFGAMMA"", ""RFG7"", ""TF1G"", ""TIF1G"", ""PTC7""","""E3 ubiquitin-protein ligase TRIM33""","""Ectodermin homolog"", ""RET-fused gene 7 protein"", ""RING-type E3 ubiquitin transferase TRIM33"", ""Transcription intermediary factor 1-gamma"", ""Tripartite motif-containing protein 33""","""TRIM33""","""KIAA1113"", ""RFG7"", ""TIF1G""","""tripartite motif containing 33""","""ECTO"", ""PTC7"", ""RFG7"", ""TF1G"", ""TIF1G"", ""TIF1GAMMA"", ""TIFGAMMA"""
